VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee,PU_Borough,PU_Zone,PU_service_zone,DO_Borough,DO_Zone,DO_service_zone
2,2025-06-01 00:55:24,2025-06-01 01:15:39,1,5.16,1,N,79,145,1,26.63,1.0,0.5,0.0,0.0,1.0,32.38,2.5,0.0,0.75,Manhattan,East Village,Yellow Zone,Queens,Long Island City/Hunters Point,Boro Zone
2,2025-06-01 00:09:09,2025-06-01 00:16:43,1,1.51,1,N,239,263,1,10.0,1.0,0.5,1.5,0.0,1.0,16.5,2.5,0.0,0.0,Manhattan,Upper West Side South,Yellow Zone,Manhattan,Yorkville West,Yellow Zone
2,2025-06-01 00:32:36,2025-06-01 00:45:53,2,2.72,1,N,162,79,1,14.9,1.0,0.5,0.0,0.0,1.0,20.65,2.5,0.0,0.75,Manhattan,Midtown East,Yellow Zone,Manhattan,East Village,Yellow Zone
2,2025-06-01 00:46:35,2025-06-01 00:55:25,1,1.29,1,N,79,249,1,9.3,1.0,0.5,2.71,0.0,1.0,17.76,2.5,0.0,0.75,Manhattan,East Village,Yellow Zone,Manhattan,West Village,Yellow Zone
2,2025-06-01 00:57:14,2025-06-01 01:09:52,2,2.51,1,N,158,162,1,14.2,1.0,0.5,0.0,0.0,1.0,19.95,2.5,0.0,0.75,Manhattan,Meatpacking/West Village West,Yellow Zone,Manhattan,Midtown East,Yellow Zone
1,2025-06-01 00:00:57,2025-06-01 00:15:32,1,3.9,1,N,162,151,1,19.1,4.25,0.5,4.95,0.0,1.0,29.8,2.5,0.0,0.75,Manhattan,Midtown East,Yellow Zone,Manhattan,Manhattan Valley,Yellow Zone
1,2025-06-01 00:54:21,2025-06-01 01:13:12,2,2.3,1,N,79,164,1,17.7,4.25,0.5,4.65,0.0,1.0,28.1,2.5,0.0,0.75,Manhattan,East Village,Yellow Zone,Manhattan,Midtown South,Yellow Zone
2,2025-06-01 00:06:52,2025-06-01 00:14:29,2,1.53,1,N,113,164,1,10.0,1.0,0.5,2.0,0.0,1.0,17.75,2.5,0.0,0.75,Manhattan,Greenwich Village North,Yellow Zone,Manhattan,Midtown South,Yellow Zone
2,2025-06-01 00:47:11,2025-06-01 00:58:48,2,2.1,1,N,238,143,1,13.5,1.0,0.5,2.0,0.0,1.0,21.25,2.5,0.0,0.75,Manhattan,Upper West Side North,Yellow Zone,Manhattan,Lincoln Square West,Yellow Zone
1,2025-06-01 00:29:17,2025-06-01 01:08:56,1,17.9,2,N,132,48,1,70.0,5.0,0.5,16.7,6.94,1.0,100.14,2.5,1.75,0.75,Queens,JFK Airport,Airports,Manhattan,Clinton East,Yellow Zone
1,2025-06-01 00:45:38,2025-06-01 00:48:30,1,0.9,1,N,90,68,2,5.8,4.25,0.5,0.0,0.0,1.0,11.55,2.5,0.0,0.75,Manhattan,Flatiron,Yellow Zone,Manhattan,East Chelsea,Yellow Zone
2,2025-06-01 00:59:13,2025-06-01 01:19:55,1,3.54,1,N,166,50,1,21.2,1.0,0.5,5.39,0.0,1.0,32.34,2.5,0.0,0.75,Manhattan,Morningside Heights,Boro Zone,Manhattan,Clinton West,Yellow Zone
1,2025-06-01 00:48:43,2025-06-01 00:58:00,1,2.4,1,N,41,239,1,12.8,3.5,0.5,3.55,0.0,1.0,21.35,2.5,0.0,0.0,Manhattan,Central Harlem,Boro Zone,Manhattan,Upper West Side South,Yellow Zone
2,2025-06-01 00:43:03,2025-06-01 01:04:02,1,7.9,1,N,138,37,1,33.8,6.0,0.5,8.61,0.0,1.0,51.66,0.0,1.75,0.0,Queens,LaGuardia Airport,Airports,Brooklyn,Bushwick South,Boro Zone
2,2025-06-01 00:10:33,2025-06-01 00:21:52,1,2.25,1,N,170,125,1,12.8,1.0,0.5,3.71,0.0,1.0,22.26,2.5,0.0,0.75,Manhattan,Murray Hill,Yellow Zone,Manhattan,Hudson Sq,Yellow Zone
2,2025-06-01 00:08:15,2025-06-01 00:20:26,1,1.83,1,N,140,161,1,13.5,1.0,0.5,3.85,0.0,1.0,23.1,2.5,0.0,0.75,Manhattan,Lenox Hill East,Yellow Zone,Manhattan,Midtown Center,Yellow Zone
2,2025-06-01 00:28:14,2025-06-01 00:33:35,1,0.73,1,N,161,68,1,6.5,1.0,0.5,2.45,0.0,1.0,14.7,2.5,0.0,0.75,Manhattan,Midtown Center,Yellow Zone,Manhattan,East Chelsea,Yellow Zone
2,2025-06-01 00:38:56,2025-06-01 00:48:52,1,1.37,1,N,249,148,1,11.4,1.0,0.5,2.0,0.0,1.0,19.15,2.5,0.0,0.75,Manhattan,West Village,Yellow Zone,Manhattan,Lower East Side,Yellow Zone
